path	id	mimeType	modifiedTime	size	md5Checksum	repo_match
Hyundai_Ioniq5_Repair_Orders_Chronological.pdf	1k5gIjfQCRU-XbK46p3wv27E14GBpqc5p	application/pdf	2026-06-18T03:51:19.059Z	11801953	NA	NA
Exhibit_11_Days_Out_of_Service_Hu_v_Hyundai	15okCHDSDrKdbppmFbCi9yzIh41pXPaU2fz2vGkO4JdM	application/vnd.google-apps.document	2026-06-04T19:36:15.174Z	9226	NA	NA
Hyundai Loss of Use Dispute File - Arbitration Case Evidence	1Oq2JciytLQi58y6jmcavPzTDIDwOc1XzXtFMW0YqGHo	application/vnd.google-apps.document	2026-06-01T19:55:55.601Z	9834	NA	NA
Lemon Law Case Summary – Hyundai IONIQ 5	1C1Ut__TFx5cG2vaWg5ZcMVPS6scKXs7hIlBnCBa3HTs	application/vnd.google-apps.document	2026-04-25T07:06:30.704Z	169251	NA	NA
Settlement Agreement - KM8KNDDF9RU253237.pdf	14vM37zTXWKyUD6vZg_pd6XOXqGXC0Juk	application/pdf	2026-01-07T05:27:48.521Z	129590	NA	materials/exhibits/Hu_v_HMA_Ex09a_Settlement_Agreement_Aug2025.pdf
11-2025 Autobody Diagnostics Report.zip	1yznCU9PSK2WXaeRJNJ5DaVuecJ1dNK_m	application/zip	2026-01-13T18:50:27.603Z	623224	NA	NA
2026-01-07 16.40.38 Call with Hyundai Finance Representative.wav	1GCmYmiSQSCvKxcxQZKEKzTitQkB_b4Xz	audio/x-wav	2026-01-12T18:01:02.085Z	23756804	NA	NA
2026-01-07 16.48.11 Call with Paramus Hyundai Service and Parts.wav	1c9vEsTYx8P73qZPQGBpIFKcshxRK_rRH	audio/x-wav	2026-01-12T17:57:36.315Z	16478932	NA	NA
Hyundai 1-2026.txt	1UAvRQKjC3GxJBB93XeCjV1lt4Nbm6V67	text/plain	2026-01-12T17:57:09.510Z	266	NA	NA
Hu_v_HMA_Ex04_Repair_Orders.pdf	1boIj5mlheuI4NVw8NAdzJP1xzlLuvtu-	application/pdf	2026-06-03T16:06:17.753Z	4527612	NA	materials/Hyundai Repair Orders.pdf;materials/exhibits/Hu_v_HMA_Ex04_Repair_Orders.pdf;materials/exhibits/Hyundai Repair Orders.pdf
Hu_v_HMA_Ex06_HMA_Offer_Letter_2_Jan2026.pdf	1WxfsejWSwuTJ7Ytc3rTpgURgnUK3CItu	application/pdf	2026-06-03T16:06:17.424Z	185821	NA	materials/exhibits/Hu_v_HMA_Ex06_HMA_Offer_Letter_2_Jan2026.pdf;materials/exhibits/Hu_v_HMA_Ex09b_Settlement_Agreement_Jan2026.pdf
Hu_v_HMA_Ex05_HMA_Offer_Letter_1_Aug2025.pdf	1mzHRCjG6t7yB8vR68Zc_R6mKFKDzDy1F	application/pdf	2026-06-03T16:06:16.531Z	227146	NA	materials/exhibits/Hu_v_HMA_Ex05_HMA_Offer_Letter_1_Aug2025.pdf;materials/exhibits/Hu_v_HMA_Ex07_Repurchase_Calculated_Offer.pdf
Hu_v_HMA_Ex03_Registration.pdf	18LR6MzWwHAUKNGXXf8n4TBzf9t2SN6MV	application/pdf	2026-06-03T16:06:15.449Z	97766	NA	materials/exhibits/Hu_v_HMA_Ex03_Registration.pdf
Hu_v_HMA_Ex01_Lease_Agreement.pdf	1CrSyH4NuP4xRYif-EPTVPjYg1ZarIU3l	application/pdf	2026-06-03T15:29:22.640Z	24067714	NA	NA
Hu_v_HMA_Ex02_Bill_of_Sale.pdf	1LLFtLntQI4JF30FvFQjBZMA2HblRqCUM	application/pdf	2026-06-03T15:29:14.981Z	61185	NA	materials/Hyundai Bill of Sale.pdf;materials/exhibits/Hu_v_HMA_Ex02_Bill_of_Sale.pdf;materials/exhibits/Hyundai Bill of Sale.pdf
Hyundai Repair Orders.pdf	1UVSekHPcItNOiG8KuxN7jFOx_9s5KUQi	application/pdf	2026-05-14T04:59:34.937Z	4527612	NA	materials/Hyundai Repair Orders.pdf;materials/exhibits/Hu_v_HMA_Ex04_Repair_Orders.pdf;materials/exhibits/Hyundai Repair Orders.pdf
Car Lease Documents/HMF Lease Term Extension - 2415627694_encrypted_ (2).pdf	1KSUll4qY6da-q9LDk6CttVwmt7M4gUiW	application/pdf	2026-05-22T04:50:39.230Z	656813	NA	NA
Car Lease Documents/HMF Lease Term Extension - 2415627694_encrypted_.pdf	1pmukFQhWMK-1-CP_-IJo4xBX5I07nzJW	application/pdf	2026-05-15T13:13:32.099Z	639499	NA	NA
Car Lease Documents/new-car-lemon-law.pdf	1_i8zysSv4GCfKt8rkSAJkbzNYiO50naN	application/pdf	2026-04-25T07:37:49Z	1678960	NA	NA
Car Lease Documents/new_car_lemon_law_2025.pdf	1_kk5Kfbe6u9n3KLmlR4QzxkguJcvRReV	application/pdf	2026-04-25T06:56:11Z	967593	NA	NA
Car Lease Documents/HMF Lease Term Extension - 2415627694 - signed.pdf	1HtRXyDUSD8jfozzDaV7WcZI8hNMT0020	application/pdf	2026-06-03T00:05:32.389Z	656822	NA	materials/exhibits/Hu_v_HMA_Ex15_Lease_Extension_Agreement.pdf
Car Lease Documents/Lease Payment History Account Current.pdf	1ZJApzw5NF8D0hXnylHlpgWVsSPx20txG	application/pdf	2026-06-03T00:02:36.989Z	180412	NA	materials/exhibits/Hu_v_HMA_Ex19_Lease_Payment_History.pdf
Car Lease Documents/Car Lease Contract 1-59225931599.pdf	1uJj8xAmLUo_maS5Y3l4Qu5la6RKDgbdi	application/pdf	2026-04-23T06:39:31Z	24067714	NA	NA
Car Lease Documents/Hyundai Bill of Sale.pdf	1sabDHePSse5hc-SZpzQ3TntkO1EfX4Ug	application/pdf	2026-04-23T06:30:09Z	61185	NA	materials/Hyundai Bill of Sale.pdf;materials/exhibits/Hu_v_HMA_Ex02_Bill_of_Sale.pdf;materials/exhibits/Hyundai Bill of Sale.pdf
Car Lease Documents/Car Registration.jpg	18Nrxy2gA9SyaJ0hsqMycDfSrmjJxFRiK	image/jpeg	2026-04-23T06:29:24Z	140160	NA	materials/exhibits/Car Registration.jpg
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex11_Days_Out_of_Service_Summary.docx	1e8tCUGKacEGZxHIVA1crKbKsmqy7wlwj	application/vnd.openxmlformats-officedocument.wordprocessingml.document	2026-06-16T02:11:52.024Z	14553	NA	NA
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Appeal_Memo_Article75.docx	1NbMy1ay-HWaimv-4RByfAK-Y2np8KSdI	application/vnd.openxmlformats-officedocument.wordprocessingml.document	2026-06-16T02:11:49.122Z	15600	NA	NA
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex11_Days_Out_of_Service_Summary.pdf	1QZabB9V8rJeg6ICNBAiHe14fN0qgrMqL	application/pdf	2026-06-16T02:11:49.115Z	74796	NA	NA
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Appeal_Memo_Article75.pdf	1XtiyJ5GJThzmrPLQ2kK45rhkRaDdaJOk	application/pdf	2026-06-16T02:11:49.103Z	81351	NA	NA
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex20_Dashboard_Photos.pdf	1V0ORvVxB09samMZwxRaIP31Bw6AOT9HQ	application/pdf	2026-06-03T23:07:14.681Z	908569	NA	materials/exhibits/Hu_v_HMA_Ex20_Dashboard_Photos.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex04_Repair_Orders.pdf	1dPHJOTy05jiiikKhXeDkwlRV1o7FPuhW	application/pdf	2026-06-03T14:29:59.519Z	4527612	NA	materials/Hyundai Repair Orders.pdf;materials/exhibits/Hu_v_HMA_Ex04_Repair_Orders.pdf;materials/exhibits/Hyundai Repair Orders.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex11_Days_Out_of_Service.pdf	1KdfylQTsajpC8-lc_GWb_4iXHFhc-UdM	application/pdf	2026-06-04T20:04:56.111Z	178422	NA	NA
Arbitration Submission Exhibits — June 9 2026/Exhibit_11_Days_Out_of_Service_Hu_v_Hyundai.docx	1DanZSDXxsk9RhtaO7cD1-8_TsvBINVxd	application/vnd.openxmlformats-officedocument.wordprocessingml.document	2026-06-04T19:36:35Z	13004	NA	NA
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex21_Loss_of_Use_Record.pdf	1X--jv7YOpo680EQuYaZq5OlxFcU3ohLy	application/pdf	2026-06-05T15:46:34.088Z	233839	NA	materials/exhibits/Hu_v_HMA_Ex21_Loss_of_Use_Record.pdf
Arbitration Submission Exhibits — June 9 2026/Exhibit_Supplement_Hu_v_Hyundai_Loss_of_Use.docx	1fbY-8STP8-A10lMBt3qyL8skqEKjWqTO	application/vnd.openxmlformats-officedocument.wordprocessingml.document	2026-06-05T15:45:39.795Z	27708	NA	NA
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex22_Communication_Log.pdf	138FPtm4F0lphiH_vQ1bD1t_-JkeSIOYW	application/pdf	2026-06-05T15:43:18.358Z	362273	NA	materials/exhibits/Hu_v_HMA_Ex22_Communication_Log.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex22_Communication_Log.docx	1CAGYI65GmDTrEyCXEi0iHESn5f6n2qzz	application/vnd.openxmlformats-officedocument.wordprocessingml.document	2026-06-05T15:40:11.270Z	28222	NA	NA
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Submission_Cover_Letter.pdf	1AndCWUwUCj9RI8kGjo3au7WBUQ5w5JgD	application/pdf	2026-06-03T14:30:44.470Z	99931	NA	NA
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex17_Itemized_Expense_Ledger.pdf	1lTrv_M6zcMEJrchZysjScVS5oG1Aqszb	application/pdf	2026-06-05T04:48:19.198Z	111503	NA	NA
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex21_Expense Packet.pdf	1sh4DLEmTrGLf5m2Phkkg4O1InTBfOGFU	application/pdf	2026-06-05T04:44:27.592Z	6427762	NA	NA
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex21_Aggregated_Lyft_Receipts.pdf	1a8u6BqlzzZtu-LTAreuDSi9opqwJJ9px	application/pdf	2026-06-04T21:26:26.400Z	4298870	NA	NA
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex21_RAP_Response.pdf	1gww3kM1ZJ1ETpdp28M_dGDfRAB5V7sJl	application/pdf	2026-06-04T20:02:45.815Z	688451	NA	NA
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex21_Hyundai_Case_Management_#42053079.pdf	1oK4CE4_pXloL5pfAGr-IUEA4eBBxih3Q	application/pdf	2026-06-04T19:39:22.897Z	88335	NA	NA
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex21_Aggregated_Car_Rental_Receipts.pdf	1vhz9OJqhw5bY2eKErKfO-mgOBax_4aNm	application/pdf	2026-06-04T19:37:45.482Z	1242087	NA	NA
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex14_Diagnostic_Fee_Requests.pdf	15rbEIyZQhO6ynkEl4J5OsndFqvzl_u41	application/pdf	2026-06-03T23:24:33Z	81488	NA	materials/exhibits/Hu_v_HMA_Ex14_Diagnostic_Fee_Requests.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex10_Smart_Diagnosis_Fault_Codes_Exhibits.pdf	1unotPmKianFA-wxmTJXlkIbVzmqR6buh	application/pdf	2026-06-03T22:35:35.373Z	218104	NA	materials/exhibits/Hu_v_HMA_Ex10_Smart_Diagnosis_Fault_Codes_Exhibits.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex12_Roadside_Assistance_Records.pdf	17kpzrMCo-vUcOl7-ejQEVwmNFR3HAdT1	application/pdf	2026-06-03T22:56:24.569Z	9609	NA	materials/exhibits/Hu_v_HMA_Ex12_Roadside_Assistance_Records.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex10_Smart_Diagnosis_Fault_Codes.pdf	1R97dVDacwQCB74ikF4ooYvrXgtfE8NrT	application/pdf	2026-06-03T15:37:36.222Z	178032	NA	materials/exhibits/Hu_v_HMA_Ex10_Smart_Diagnosis_Fault_Codes.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex08_HMA_Current_Offer_2500.pdf	1FEFhU3ZdS-EFDU4cW-_J9H-uCK2_EN9m	application/pdf	2026-06-03T16:08:21.348Z	131799	NA	materials/exhibits/Hu_v_HMA_Ex08_HMA_Current_Offer_2500.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex13_Loaner_Vehicle_Declaration.pdf	1wPfDfsTPGyWRXzPl-CseVi7F0jPCCmKD	application/pdf	2026-06-03T15:34:20.276Z	152119	NA	materials/exhibits/Hu_v_HMA_Ex13_Loaner_Vehicle_Declaration.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex16_Mizzoni_Auto_Body_Invoice.pdf	1SwuYzdeW9c6t1aUCR9LQHubCn0CxwPF2	application/pdf	2026-06-03T14:30:24.205Z	82201	NA	materials/exhibits/Hu_v_HMA_Ex16_Mizzoni_Auto_Body_Invoice.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex19_Lease_Payment_History.pdf	1Hxn_BCV63MEvNm9EPK7eM9DE-0hCcyMB	application/pdf	2026-06-03T14:29:21.092Z	180412	NA	materials/exhibits/Hu_v_HMA_Ex19_Lease_Payment_History.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex18_Filing_Fee_Proof_250.pdf	1teykKGqJyLDsGbqnkzR5ReUWWqy30p8p	application/pdf	2026-06-03T14:29:25.931Z	94723	NA	materials/exhibits/Hu_v_HMA_Ex18_Filing_Fee_Proof_250.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex15_Lease_Extension_Agreement.pdf	1t9dZ6nbF-RCzQCwHBm9HDRJfaTLzHGUS	application/pdf	2026-06-03T14:29:16.543Z	656822	NA	materials/exhibits/Hu_v_HMA_Ex15_Lease_Extension_Agreement.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex05_HMA_Offer_Letter_1_Aug2025.pdf	1kMvvaMFW0lE5Lx3mi8Zy0K9eLvCfQblC	application/pdf	2026-06-03T14:30:09.692Z	227146	NA	materials/exhibits/Hu_v_HMA_Ex05_HMA_Offer_Letter_1_Aug2025.pdf;materials/exhibits/Hu_v_HMA_Ex07_Repurchase_Calculated_Offer.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex06_HMA_Offer_Letter_2_Jan2026.pdf	1eCWXBGLY2qohkIoKxWpzL0nCmcrl0unO	application/pdf	2026-06-03T14:29:41.222Z	185821	NA	materials/exhibits/Hu_v_HMA_Ex06_HMA_Offer_Letter_2_Jan2026.pdf;materials/exhibits/Hu_v_HMA_Ex09b_Settlement_Agreement_Jan2026.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex07_Repurchase_Calculated_Offer.pdf	1_ZI_Mz6ALnTw4zPtg8k-824ndHS-1rrF	application/pdf	2026-06-03T14:30:13.575Z	227146	NA	materials/exhibits/Hu_v_HMA_Ex05_HMA_Offer_Letter_1_Aug2025.pdf;materials/exhibits/Hu_v_HMA_Ex07_Repurchase_Calculated_Offer.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex08_Gorberg_Email_HMA_Offer_2500.pdf	1IMT6ptuMt1aqEc0IUHD5OrNc4Ddevtq1	application/pdf	2026-06-03T14:30:19.549Z	144924	NA	materials/exhibits/Hu_v_HMA_Ex08_Gorberg_Email_HMA_Offer_2500.pdf
Arbitration Submission Exhibits — June 9 2026/Hu_v_HMA_Ex09b_Settlement_Agreement_Jan2026.pdf	1j6D0E5gzzVxImK6ItwlcEi07PNJ7_dVZ	application/pdf	2026-06-03T14:29:44.541Z	185821	NA	materials/exhibits/Hu_v_HMA_Ex06_HMA_Offer_Letter_2_Jan2026.pdf;materials/exhibits/Hu_v_HMA_Ex09b_Settlement_Agreement_Jan2026.pdf
